description,category,amount,timestamp
Movie ticket,Fitness,259.33,2023-08-02 13:57:20
Uber ride,Entertainment,40.8,2022-10-07 20:56:04
Airbnb stay,Fitness,139.89,2022-04-30 00:41:32
Coffee,Fitness,246.1,2023-05-17 11:27:56
Electricity bill,Food,55.87,2023-04-30 17:31:51
Dinner at restaurant,Fitness,270.32,2023-04-03 23:01:43
Subscription,Utilities,269.27,2023-11-17 10:11:40
Gym membership,Travel,184.22,2022-08-14 14:15:34
Gym membership,Utilities,140.81,2023-11-23 01:31:31
Flight ticket,Food,157.88,2024-09-23 16:11:42
Groceries,Food,105.99,2024-06-12 05:24:14
Concert ticket,Transportation,191.7,2022-07-09 01:07:15
Uber ride,Fitness,276.37,2023-12-12 04:22:16
Amazon,,112.47,2022-12-18 19:35:42
Amazon,,105.39,2025-04-02 12:30:07
Train ticket,Shopping,223.39,2025-02-28 21:51:41
Uber ride,Travel,237.37,2025-03-20 05:59:52
Gym membership,Travel,92.57,2025-02-21 02:17:58
Car repair,Health,263.88,2024-10-03 12:18:49
Flight ticket,Fitness,123.05,2024-09-26 12:03:04
Subscription,Entertainment,23.18,2023-12-20 16:09:27
Train ticket,Shopping,244.92,2024-10-21 03:24:44
Amazon,,260.01,2024-04-04 13:12:44
Concert ticket,Fitness,247.11,2022-05-17 06:32:35
Subscription,Entertainment,267.46,2023-05-10 03:56:22
Airbnb stay,Fitness,98.35,2024-10-12 21:04:59
Online course,Health,269.06,2023-12-25 16:34:02
Uber ride,Transportation,257.51,2023-10-21 13:48:32
Concert ticket,Utilities,154.34,2023-11-24 12:00:08
Movie ticket,Travel,125.42,2024-07-07 00:09:23
Concert ticket,Utilities,4.59,2022-08-13 16:48:40
Coffee,Fitness,217.13,2022-08-28 05:14:22
Dinner at restaurant,Food,32.81,2024-05-18 17:18:31
Subscription,Utilities,23.46,2023-03-15 13:30:31
Car repair,Utilities,11.32,2022-10-01 12:38:37
Electricity bill,Entertainment,220.94,2023-10-01 20:23:06
Coffee,Fitness,272.35,2024-07-31 18:20:34
Online course,Utilities,256.35,2025-01-08 22:56:38
Substack sub,Entertainment,57.41,2023-12-03 20:38:24
Movie ticket,Food,5.35,2023-09-16 15:23:43
Car repair,Food,101.14,2024-10-05 19:58:15
Groceries,Health,16.53,2023-10-08 02:11:52
Car repair,Utilities,216.86,2023-03-31 19:16:08
Online course,Travel,80.3,2024-05-21 12:18:22
Flight ticket,Shopping,163.02,2024-09-24 23:11:32
Online course,Entertainment,97.9,2022-06-05 17:25:03
Uber ride,Health,112.89,2022-11-30 13:39:21
Train ticket,Health,286.08,2022-06-22 04:52:38
Subscription,Utilities,79.81,2022-11-22 04:30:51
Car repair,Fitness,115.86,2024-07-09 04:55:11
Airbnb stay,Health,150.46,2024-02-27 20:07:34
Movie ticket,Health,18.78,2022-04-23 03:17:22
Uber ride,Health,275.64,2023-08-02 17:27:07
Gym membership,Health,217.03,2023-03-22 01:37:51
Movie ticket,Entertainment,175.11,2024-06-05 20:55:13
Clothing purchase,Entertainment,98.0,2023-01-15 03:01:41
Online course,Transportation,297.01,2023-08-09 22:23:58
Pharmacy purchase,Food,92.34,2024-05-25 12:51:12
Pharmacy purchase,Utilities,168.94,2022-05-31 23:37:57
Amazon,,77.27,2022-05-26 22:19:45
Flight ticket,Food,167.42,2025-01-23 13:01:18
Airbnb stay,Shopping,133.5,2022-07-06 04:31:36
Substack sub,Shopping,99.71,2024-03-29 09:12:04
Amazon,,152.54,2024-09-24 03:45:24
Flight ticket,Utilities,97.12,2025-01-20 20:11:06
Dinner at restaurant,Food,100.76,2023-02-01 07:00:12
Subscription,Health,251.31,2024-03-17 22:38:00
Uber ride,Shopping,223.66,2025-01-27 11:01:49
Flight ticket,Travel,50.9,2025-01-11 10:15:33
Gas @ Chevron,Shopping,284.98,2023-01-20 11:20:05
Uber ride,Travel,261.54,2024-03-05 21:51:21
Pharmacy purchase,Health,62.23,2022-09-13 17:18:03
Gas @ Chevron,Utilities,292.83,2023-06-13 00:42:27
Gas @ Chevron,Fitness,295.17,2024-06-09 21:10:33
Pharmacy purchase,Health,236.9,2023-05-06 05:58:53
Electricity bill,Shopping,169.91,2023-10-07 03:24:50
Subscription,Shopping,249.11,2024-08-01 09:53:32
Dinner at restaurant,Transportation,20.25,2022-11-03 16:52:58
Pharmacy purchase,Entertainment,225.34,2022-05-17 20:19:27
Dinner at restaurant,Health,295.28,2022-08-07 18:19:17
Flight ticket,Shopping,223.14,2024-07-07 01:29:50
Gas @ Chevron,Transportation,207.65,2024-03-23 13:55:03
Car repair,Health,123.06,2023-09-27 10:30:52
Dinner at restaurant,Food,96.66,2023-05-05 18:12:00
Dinner at restaurant,Health,161.82,2024-01-06 09:00:38
Online course,Travel,93.68,2024-10-31 11:04:45
Groceries,Fitness,99.95,2023-09-02 22:33:51
Electricity bill,Transportation,70.4,2023-11-28 06:25:50
Movie ticket,Health,283.06,2024-03-30 08:13:55
Concert ticket,Travel,45.78,2022-08-29 21:11:13
Online course,Transportation,180.41,2023-11-19 09:39:39
Subscription,Utilities,64.56,2024-07-12 06:59:10
Concert ticket,Shopping,33.26,2022-09-21 05:37:47
Concert ticket,Travel,77.03,2025-01-15 09:10:30
Train ticket,Entertainment,193.32,2024-10-18 19:51:03
Groceries,Transportation,253.13,2023-02-28 01:36:22
Gas @ Chevron,Utilities,54.51,2022-06-26 13:28:26
Uber ride,Fitness,52.24,2022-12-21 17:45:21
Electricity bill,Fitness,288.79,2023-07-08 18:36:23
Groceries,Shopping,205.35,2023-10-31 06:50:22
Substack sub,Entertainment,195.27,2022-12-10 09:02:54
Subscription,Entertainment,100.63,2023-02-20 21:21:34
Uber ride,Shopping,288.13,2022-09-23 08:54:03
Amazon,,296.34,2023-09-10 03:14:08
Subscription,Travel,265.77,2023-05-17 23:11:23
Clothing purchase,Travel,196.41,2024-10-16 10:41:36
Train ticket,Transportation,64.2,2024-03-11 07:06:37
Clothing purchase,Food,50.53,2024-07-11 14:35:47
Concert ticket,Utilities,15.4,2024-06-20 17:34:40
Amazon,,186.65,2023-10-21 20:20:29
Concert ticket,Fitness,139.41,2023-05-18 06:57:02
Movie ticket,Entertainment,265.32,2025-03-17 18:14:21
Car repair,Transportation,226.14,2023-07-29 19:07:38
Car repair,Health,213.55,2024-01-12 03:49:12
Gym membership,Shopping,199.3,2024-09-15 09:45:25
Car repair,Entertainment,28.1,2023-07-20 01:43:24
Clothing purchase,Shopping,57.46,2022-10-21 01:34:12
Train ticket,Food,299.08,2024-12-14 08:24:00
Pharmacy purchase,Transportation,74.05,2024-03-19 19:15:01
Gas @ Chevron,Fitness,44.19,2023-03-29 02:51:44
Gym membership,Shopping,122.74,2022-11-10 19:54:14
Airbnb stay,Food,119.77,2022-10-29 09:50:13
Pharmacy purchase,Entertainment,262.48,2024-04-21 08:27:52
Substack sub,Travel,15.37,2022-08-20 06:01:10
Gas @ Chevron,Travel,200.72,2023-06-01 01:24:58
Electricity bill,Shopping,281.95,2023-03-19 04:16:05
Gas @ Chevron,Utilities,261.02,2023-12-07 01:51:10
Groceries,Transportation,108.5,2023-08-14 12:55:44
Car repair,Fitness,156.49,2025-03-22 23:10:22
Gym membership,Health,160.92,2022-06-08 17:05:37
Online course,Utilities,118.82,2024-06-01 08:40:28
Train ticket,Food,145.87,2024-07-19 03:46:34
Electricity bill,Entertainment,157.81,2022-08-10 23:11:14
Concert ticket,Fitness,73.24,2024-10-04 04:19:29
Electricity bill,Utilities,221.41,2024-04-11 22:02:24
Gas @ Chevron,Health,166.0,2023-12-22 10:16:23
Airbnb stay,Travel,253.01,2024-07-05 03:09:11
Electricity bill,Travel,230.41,2022-11-12 07:10:07
Substack sub,Transportation,121.96,2023-04-19 18:40:30
Electricity bill,Transportation,145.35,2022-05-17 14:00:41
Online course,Utilities,166.51,2024-07-04 16:53:45
Pharmacy purchase,Travel,273.72,2024-11-23 00:54:46
Concert ticket,Entertainment,292.38,2023-03-01 08:09:19
Coffee,Transportation,119.87,2025-01-23 18:30:31
Flight ticket,Health,274.47,2022-05-16 17:27:41
Movie ticket,Food,16.1,2024-01-18 08:21:26
Train ticket,Shopping,113.4,2023-12-04 15:30:43
Amazon,,89.25,2022-09-07 16:37:22
Substack sub,Shopping,49.42,2024-03-31 21:53:08
Gym membership,Utilities,271.81,2023-09-06 02:15:25
Movie ticket,Health,51.66,2023-11-18 14:19:50
Train ticket,Health,118.45,2025-02-22 17:34:08
Online course,Shopping,129.43,2025-03-13 19:05:33
Pharmacy purchase,Shopping,201.73,2024-05-03 23:15:57
Substack sub,Shopping,10.77,2024-05-15 03:33:24
Subscription,Transportation,293.31,2023-06-08 00:46:33
Gas @ Chevron,Health,169.48,2024-10-25 15:20:20
Flight ticket,Entertainment,172.81,2023-09-11 04:48:43
Gym membership,Fitness,277.14,2024-10-12 10:33:09
Airbnb stay,Entertainment,258.91,2022-10-16 23:04:33
Pharmacy purchase,Travel,194.61,2022-04-18 00:44:27
Movie ticket,Entertainment,187.31,2024-12-03 13:41:56
Groceries,Health,288.15,2024-09-27 06:01:19
Electricity bill,Transportation,80.8,2024-02-04 20:41:50
Subscription,Travel,208.94,2023-09-25 03:24:03
Dinner at restaurant,Travel,291.77,2022-10-28 03:16:42
Flight ticket,Transportation,43.71,2024-08-20 12:16:33
Coffee,Entertainment,208.86,2024-03-22 23:44:39
Gym membership,Fitness,248.66,2023-03-21 12:38:00
Amazon,,34.5,2025-03-09 08:50:16
Subscription,Entertainment,25.54,2024-03-26 12:27:32
Coffee,Utilities,23.97,2023-01-20 23:14:51
Amazon,,177.78,2022-06-11 17:21:42
Movie ticket,Utilities,134.0,2023-05-13 05:29:07
Clothing purchase,Health,64.18,2022-11-06 08:18:10
Amazon,,199.99,2024-02-17 16:08:32
Movie ticket,Food,101.14,2024-08-26 19:16:01
Concert ticket,Utilities,156.33,2022-08-03 05:32:39
Coffee,Shopping,92.66,2023-07-05 16:00:15
Clothing purchase,Transportation,272.21,2024-09-18 05:57:33
Amazon,,46.78,2022-07-30 04:17:24
Groceries,Health,61.8,2024-06-21 01:38:33
Car repair,Entertainment,116.04,2024-03-05 16:27:18
Gas @ Chevron,Utilities,221.84,2023-12-09 06:27:31
Concert ticket,Entertainment,20.49,2023-05-13 18:22:43
Amazon,,74.75,2024-08-02 11:02:26
Gas @ Chevron,Utilities,87.67,2022-09-02 13:42:11
Movie ticket,Fitness,241.68,2023-03-02 13:05:34
Dinner at restaurant,Transportation,25.15,2024-10-07 15:23:29
Substack sub,Food,218.78,2024-10-11 17:33:46
Coffee,Food,48.67,2024-08-28 10:33:28
Dinner at restaurant,Utilities,291.05,2024-05-10 07:12:08
Subscription,Entertainment,168.22,2022-06-28 01:50:18
Gym membership,Health,25.62,2023-08-30 19:28:01
Flight ticket,Travel,42.97,2022-12-24 17:21:10
Train ticket,Fitness,43.19,2023-04-29 20:28:15
Gym membership,Food,15.18,2022-10-17 13:50:26
Online course,Travel,104.14,2024-09-18 09:07:42
Pharmacy purchase,Food,47.85,2023-05-05 18:33:09
Uber ride,Entertainment,119.72,2023-04-13 16:08:53
Subscription,Travel,69.09,2023-03-21 05:01:18
Substack sub,Health,169.69,2024-12-30 17:24:02
Groceries,Fitness,267.9,2022-08-14 12:00:09
Groceries,Travel,64.49,2022-12-03 12:47:25
Uber ride,Utilities,252.17,2023-12-31 12:24:25
Online course,Food,113.37,2025-02-21 19:51:16
Substack sub,Food,111.04,2024-05-02 09:04:56
Electricity bill,Food,116.66,2023-03-04 22:55:00
Airbnb stay,Entertainment,152.0,2022-08-02 21:43:31
Amazon,,43.44,2023-06-08 09:16:42
Coffee,Entertainment,220.99,2025-01-18 07:40:25
Electricity bill,Health,231.29,2023-02-27 20:23:26
Gym membership,Health,281.88,2024-06-09 20:42:38
Car repair,Food,97.91,2022-12-09 23:46:15
Airbnb stay,Food,115.4,2024-05-22 02:35:50
Airbnb stay,Fitness,74.32,2024-09-27 07:12:42
Dinner at restaurant,Food,276.98,2024-09-02 01:40:16
Amazon,,71.83,2024-04-01 05:36:03
Airbnb stay,Health,117.13,2023-03-28 09:08:23
Concert ticket,Utilities,32.03,2024-02-19 14:56:43
Substack sub,Travel,232.87,2024-08-26 02:35:43
Concert ticket,Utilities,35.17,2023-03-13 22:15:47
Train ticket,Utilities,183.68,2024-01-26 06:26:18
Groceries,Health,36.28,2023-06-12 21:17:46
Pharmacy purchase,Fitness,169.96,2022-08-16 02:17:28
Pharmacy purchase,Transportation,208.58,2022-12-30 15:01:36
Dinner at restaurant,Travel,111.53,2024-08-11 13:27:49
Coffee,Food,253.89,2023-02-12 14:02:06
Coffee,Travel,130.15,2025-03-28 05:38:54
Groceries,Food,160.75,2023-05-06 08:04:29
Online course,Fitness,252.43,2023-02-21 04:30:08
Concert ticket,Entertainment,41.51,2023-07-31 17:51:39
Groceries,Fitness,28.97,2022-12-28 19:50:34
Gym membership,Transportation,291.51,2023-01-02 02:29:41
Coffee,Food,70.9,2023-11-17 00:00:48
Airbnb stay,Entertainment,276.54,2025-02-23 00:05:21
Concert ticket,Shopping,6.99,2023-11-07 00:10:04
Uber ride,Shopping,267.33,2022-06-05 18:33:21
Airbnb stay,Fitness,223.75,2022-05-27 04:10:17
Uber ride,Health,141.36,2025-01-01 08:56:39
Subscription,Shopping,288.62,2024-11-28 13:05:09
Electricity bill,Travel,94.86,2023-03-04 15:14:20
Train ticket,Fitness,140.44,2025-01-20 08:34:18
Online course,Shopping,116.37,2023-07-29 03:35:59
Dinner at restaurant,Health,89.59,2025-01-14 14:52:01
Online course,Entertainment,256.48,2022-05-24 20:04:28
Gym membership,Fitness,180.35,2025-01-14 15:07:05
Gas @ Chevron,Travel,237.39,2024-05-19 08:43:21
Substack sub,Fitness,127.72,2023-03-26 21:40:11
Car repair,Transportation,221.27,2023-07-18 00:39:04
Flight ticket,Food,231.15,2023-06-27 22:19:34
Concert ticket,Entertainment,13.8,2022-10-19 11:30:14
Gas @ Chevron,Utilities,133.24,2024-11-10 08:52:42
Concert ticket,Food,67.26,2024-08-09 04:08:41
Car repair,Health,47.86,2023-01-16 00:01:37
Car repair,Travel,181.34,2022-07-05 20:36:56
Concert ticket,Food,150.26,2022-07-15 01:54:34
Airbnb stay,Shopping,159.59,2023-04-25 16:21:02
Electricity bill,Entertainment,18.21,2024-03-02 16:48:15
Online course,Health,122.85,2023-01-15 08:45:34
Coffee,Utilities,245.33,2024-10-03 11:41:51
Gym membership,Health,75.85,2023-09-08 16:52:29
Airbnb stay,Shopping,213.55,2024-02-18 16:14:48
Amazon,,221.86,2023-10-22 21:07:27
Gas @ Chevron,Utilities,243.84,2022-05-18 20:38:14
Car repair,Health,232.73,2024-11-30 09:05:07
Movie ticket,Shopping,165.37,2022-08-29 14:26:06
Dinner at restaurant,Entertainment,167.15,2024-10-02 12:41:58
Electricity bill,Food,42.76,2024-08-24 05:16:49
Clothing purchase,Health,251.87,2024-04-03 02:08:35
Amazon,,266.59,2022-04-26 13:28:48
Airbnb stay,Utilities,247.97,2024-01-25 09:43:56
Groceries,Travel,83.82,2024-09-24 13:45:35
Amazon,,4.3,2022-05-07 15:18:42
Pharmacy purchase,Utilities,87.0,2025-03-12 09:18:34
Clothing purchase,Fitness,97.9,2023-09-01 23:29:09
Substack sub,Transportation,186.24,2024-06-17 08:12:06
Online course,Travel,105.17,2022-11-03 07:18:32
Substack sub,Travel,267.05,2022-05-26 15:05:34
Gas @ Chevron,Utilities,120.52,2023-07-01 14:18:59
Movie ticket,Shopping,261.54,2023-05-28 08:43:58
Movie ticket,Utilities,92.76,2025-02-26 19:27:16
Electricity bill,Travel,122.97,2023-09-05 01:49:00
Uber ride,Food,110.85,2024-01-18 15:21:47
Gas @ Chevron,Transportation,5.74,2023-06-08 21:40:28
Online course,Shopping,167.86,2023-01-02 00:01:44
Online course,Transportation,146.14,2023-06-02 03:19:57
Substack sub,Transportation,140.5,2023-12-30 05:26:46
Substack sub,Transportation,181.94,2024-12-21 12:03:17
Train ticket,Shopping,14.68,2024-07-19 08:08:24
Electricity bill,Fitness,121.9,2023-08-18 07:43:23
Dinner at restaurant,Fitness,205.75,2024-11-30 13:52:40
Amazon,,235.92,2024-01-28 21:33:27
Uber ride,Entertainment,231.33,2025-04-10 03:43:34
Pharmacy purchase,Entertainment,273.06,2023-11-28 09:57:56
Coffee,Transportation,123.93,2023-03-27 06:40:33
Gas @ Chevron,Transportation,179.48,2023-05-16 08:40:45
Dinner at restaurant,Fitness,109.7,2023-11-15 09:12:45
Pharmacy purchase,Entertainment,163.62,2024-11-12 03:47:14
Flight ticket,Food,202.95,2022-05-17 19:35:57
Amazon,,11.9,2024-05-24 08:40:15
Gym membership,Fitness,267.93,2023-04-19 06:40:08
Gym membership,Food,52.3,2023-08-12 10:16:19
Substack sub,Health,55.39,2024-06-18 16:28:40
Concert ticket,Entertainment,122.99,2022-08-22 23:02:36
Gym membership,Travel,170.73,2022-08-13 23:57:18
Online course,Food,178.91,2023-05-15 21:52:19
Train ticket,Travel,267.78,2025-01-11 06:20:12
Subscription,Shopping,148.01,2023-12-10 05:24:48
Subscription,Travel,82.91,2025-01-29 06:54:02
Online course,Food,157.13,2022-06-17 00:13:10
Electricity bill,Food,159.63,2024-11-05 11:32:48
Concert ticket,Fitness,127.12,2023-06-04 22:04:10
Coffee,Travel,30.13,2023-08-14 21:04:05
Groceries,Utilities,213.71,2024-04-27 08:24:03
Uber ride,Travel,23.35,2023-01-08 11:00:29
Subscription,Fitness,52.53,2022-04-24 08:32:11
Coffee,Utilities,141.49,2023-09-07 03:47:45
Pharmacy purchase,Entertainment,87.13,2023-04-25 01:09:02
Coffee,Transportation,9.19,2024-09-21 01:16:28
Dinner at restaurant,Food,18.2,2024-05-30 10:49:36
Clothing purchase,Transportation,229.12,2024-02-12 14:24:10
Flight ticket,Shopping,236.39,2023-10-17 14:08:35
Gas @ Chevron,Entertainment,25.5,2024-02-22 19:34:39
Train ticket,Entertainment,12.02,2022-06-21 13:22:36
Substack sub,Entertainment,129.59,2025-02-24 11:17:14
Concert ticket,Shopping,60.26,2023-08-23 23:43:08
Groceries,Food,3.35,2023-09-12 23:20:05
Car repair,Utilities,265.98,2023-09-26 10:57:22
Pharmacy purchase,Entertainment,252.29,2023-10-06 19:58:57
Concert ticket,Health,84.64,2025-01-15 10:51:59
Online course,Transportation,247.67,2023-04-11 09:03:05
Coffee,Entertainment,280.65,2024-06-22 02:12:22
Pharmacy purchase,Transportation,258.14,2025-03-06 21:24:50
Pharmacy purchase,Health,244.68,2024-11-29 01:04:05
Uber ride,Fitness,113.33,2024-04-02 07:38:20
Online course,Shopping,208.44,2024-04-24 15:46:26
Flight ticket,Fitness,27.9,2023-08-08 16:35:50
Train ticket,Transportation,12.85,2024-07-16 04:59:30
Train ticket,Utilities,278.41,2023-11-10 18:52:44
Dinner at restaurant,Transportation,224.5,2022-05-08 06:39:17
Uber ride,Food,261.21,2025-03-14 13:02:23
Train ticket,Entertainment,246.73,2022-08-08 15:18:55
Subscription,Utilities,65.02,2023-05-17 09:05:42
Train ticket,Shopping,170.77,2024-05-23 19:38:15
Uber ride,Entertainment,70.82,2023-12-31 15:13:36
Subscription,Shopping,102.18,2025-04-03 15:35:05
Subscription,Health,110.3,2023-06-23 11:15:51
Pharmacy purchase,Food,19.62,2022-06-26 11:39:46
Movie ticket,Utilities,297.45,2023-04-03 19:44:39
Amazon,,67.57,2022-05-02 12:07:25
Coffee,Utilities,224.64,2023-09-12 07:03:22
Concert ticket,Food,179.54,2022-07-05 03:10:39
Car repair,Travel,26.51,2023-10-27 22:42:03
Pharmacy purchase,Health,255.05,2025-01-22 20:02:14
Electricity bill,Utilities,115.76,2023-01-14 01:32:51
Amazon,,191.88,2023-07-22 00:02:42
Substack sub,Entertainment,224.03,2025-01-16 11:38:05
Gas @ Chevron,Fitness,58.91,2023-04-30 07:30:30
Amazon,,63.16,2024-02-16 10:02:57
Electricity bill,Entertainment,31.5,2024-02-21 04:48:12
Coffee,Fitness,261.74,2024-12-01 23:10:11
Train ticket,Utilities,24.06,2025-04-08 00:49:40
Subscription,Travel,284.27,2023-03-02 12:19:48
Uber ride,Entertainment,233.83,2023-07-01 12:48:11
Pharmacy purchase,Utilities,31.93,2023-10-07 20:25:01
Subscription,Food,277.23,2022-09-05 11:19:55
Pharmacy purchase,Food,72.38,2023-08-22 10:29:59
Clothing purchase,Transportation,35.22,2022-08-19 08:26:56
Pharmacy purchase,Fitness,230.95,2024-01-05 14:37:50
Subscription,Entertainment,105.05,2024-09-20 02:00:18
Substack sub,Fitness,157.01,2023-09-13 19:18:31
Pharmacy purchase,Travel,239.71,2022-05-23 16:29:20
Movie ticket,Entertainment,132.17,2022-08-22 21:56:52
Movie ticket,Travel,224.89,2024-06-04 06:23:59
Groceries,Entertainment,254.14,2024-10-13 00:42:44
Substack sub,Entertainment,199.57,2022-12-20 17:26:03
Coffee,Shopping,203.13,2022-04-25 14:14:48
Clothing purchase,Utilities,170.17,2023-01-12 22:21:59
Movie ticket,Entertainment,260.44,2025-03-16 02:08:56
Electricity bill,Travel,213.28,2024-04-30 15:03:32
Groceries,Entertainment,96.53,2022-04-20 16:24:26
Dinner at restaurant,Transportation,60.63,2024-08-29 10:51:20
Movie ticket,Shopping,139.09,2024-11-27 23:39:55
Uber ride,Health,264.88,2024-11-18 16:32:57
Coffee,Fitness,94.24,2024-11-29 15:38:50
Movie ticket,Health,66.57,2022-11-27 14:34:23
Airbnb stay,Travel,39.22,2022-04-28 16:37:39
Subscription,Utilities,277.45,2024-03-07 09:01:54
Movie ticket,Travel,157.27,2022-09-21 11:10:51
Clothing purchase,Travel,99.81,2024-08-13 09:37:54
Gym membership,Entertainment,172.86,2024-10-24 06:04:41
Airbnb stay,Transportation,278.93,2024-11-25 00:55:52
Car repair,Fitness,250.84,2024-01-30 18:38:53
Train ticket,Health,84.18,2023-03-16 04:48:46
Pharmacy purchase,Health,64.87,2022-11-01 21:11:20
Online course,Shopping,104.63,2024-06-18 03:47:19
Airbnb stay,Entertainment,185.31,2022-08-08 23:56:41
Gym membership,Shopping,125.09,2023-03-20 21:39:19
Car repair,Transportation,202.69,2023-04-18 18:36:58
Uber ride,Fitness,57.64,2023-07-26 20:13:34
Pharmacy purchase,Travel,204.83,2023-11-26 18:55:14
Subscription,Fitness,19.41,2023-05-16 04:40:04
Train ticket,Transportation,270.85,2024-02-02 14:04:48
Uber ride,Health,199.88,2024-11-02 22:48:00
Online course,Entertainment,144.05,2024-05-25 13:51:42
Electricity bill,Health,152.79,2024-07-17 12:55:44
Movie ticket,Shopping,8.53,2023-10-19 11:49:21
Electricity bill,Health,23.37,2023-02-24 03:17:19
Amazon,,78.4,2025-02-20 16:05:26
Subscription,Utilities,245.64,2022-06-07 12:14:19
Concert ticket,Entertainment,273.87,2024-10-03 15:10:23
Flight ticket,Health,72.5,2024-05-17 22:16:11
Airbnb stay,Transportation,255.67,2023-05-18 20:45:09
Clothing purchase,Food,6.7,2024-08-31 12:25:28
Electricity bill,Transportation,99.04,2023-11-09 21:45:13
Groceries,Shopping,27.53,2025-02-24 07:14:05
Uber ride,Fitness,253.86,2023-02-18 10:18:21
Gym membership,Utilities,245.43,2025-04-09 12:11:01
Car repair,Shopping,249.02,2022-05-09 10:26:58
Airbnb stay,Travel,263.52,2025-02-04 05:28:30
Uber ride,Utilities,146.99,2022-10-10 07:12:19
Uber ride,Travel,206.53,2022-09-24 17:44:08
Movie ticket,Travel,264.2,2023-03-04 20:27:26
Subscription,Utilities,279.99,2023-02-21 02:52:16
Train ticket,Transportation,58.97,2023-08-14 05:56:55
Concert ticket,Fitness,117.77,2022-12-04 10:42:32
Substack sub,Food,57.98,2024-11-12 17:20:03
Airbnb stay,Food,98.78,2024-07-12 01:33:04
Uber ride,Travel,271.65,2024-01-15 15:10:27
Substack sub,Utilities,274.88,2024-11-07 20:16:41
Subscription,Transportation,149.64,2022-06-19 22:29:33
Coffee,Transportation,140.32,2023-06-27 22:46:40
Dinner at restaurant,Fitness,296.24,2024-02-15 12:44:28
Clothing purchase,Health,274.1,2024-03-13 09:26:53
Uber ride,Health,201.24,2022-09-12 08:19:14
Gym membership,Health,281.96,2023-11-07 21:21:43
Gym membership,Travel,270.98,2023-08-29 22:59:13
Airbnb stay,Fitness,195.14,2023-01-26 12:05:03
Pharmacy purchase,Food,64.97,2024-05-24 06:56:23
Concert ticket,Travel,180.69,2024-11-11 11:19:56
Gym membership,Transportation,137.01,2023-12-03 00:09:43
Electricity bill,Fitness,91.56,2025-03-14 16:09:39
Car repair,Travel,74.04,2023-10-04 21:13:00
Electricity bill,Fitness,3.18,2025-01-04 17:06:33
Car repair,Fitness,247.62,2024-03-10 19:20:59
Subscription,Food,230.58,2023-03-09 23:30:58
Concert ticket,Food,290.38,2022-09-15 07:04:58
Concert ticket,Utilities,36.82,2024-10-20 16:28:11
Substack sub,Fitness,162.18,2024-04-10 16:30:52
Flight ticket,Shopping,185.53,2024-08-15 13:20:28
Online course,Health,277.77,2022-04-15 01:04:24
Airbnb stay,Health,101.03,2023-06-01 02:16:07
Groceries,Entertainment,19.53,2025-03-06 04:27:51
Car repair,Shopping,208.72,2023-09-26 14:21:45
Groceries,Utilities,103.47,2024-06-20 17:00:01
Train ticket,Travel,150.16,2024-11-30 04:46:23
Concert ticket,Utilities,46.19,2022-12-12 19:36:37
Electricity bill,Travel,16.96,2023-12-15 17:14:13
Subscription,Entertainment,243.09,2025-02-15 14:24:21
Uber ride,Health,286.4,2024-02-06 07:38:41
Clothing purchase,Shopping,113.24,2022-06-19 08:08:50
Movie ticket,Travel,216.7,2024-03-15 21:06:30
Substack sub,Health,104.0,2022-05-18 04:36:13
Car repair,Shopping,27.2,2023-09-16 09:45:32
Train ticket,Food,203.67,2023-01-02 14:11:04
Flight ticket,Food,274.95,2022-05-04 07:00:33
Clothing purchase,Food,264.63,2023-08-30 22:41:02
Flight ticket,Food,260.79,2024-01-22 02:58:54
Airbnb stay,Transportation,171.99,2023-11-04 18:17:56
Car repair,Food,20.68,2023-06-15 09:17:19
Subscription,Transportation,123.8,2023-02-04 10:29:08
Airbnb stay,Travel,25.36,2024-03-08 10:51:26
Clothing purchase,Health,5.7,2024-07-22 22:12:39
Groceries,Transportation,139.76,2024-04-17 04:46:50
Car repair,Shopping,60.94,2023-12-07 02:37:11
Clothing purchase,Utilities,253.59,2022-11-20 21:53:41
Substack sub,Shopping,193.31,2025-02-05 21:19:10
Train ticket,Shopping,298.82,2025-01-18 04:09:28
Flight ticket,Health,17.45,2023-09-29 22:49:58
Groceries,Travel,233.45,2022-10-04 08:58:51
Flight ticket,Entertainment,155.66,2024-10-13 01:35:39
Movie ticket,Entertainment,50.87,2024-11-06 03:29:45
Substack sub,Entertainment,146.57,2024-08-05 04:23:15
Coffee,Fitness,92.65,2023-05-08 20:02:41
Online course,Shopping,84.62,2023-12-01 14:48:15
Airbnb stay,Food,232.51,2023-03-19 17:09:23
Dinner at restaurant,Shopping,255.78,2025-04-03 09:40:58
Groceries,Entertainment,108.71,2024-11-05 14:29:49
Groceries,Health,139.47,2024-03-14 03:36:13
Gas @ Chevron,Fitness,271.9,2024-05-23 13:51:22
Gas @ Chevron,Fitness,126.87,2022-09-25 00:52:01
Electricity bill,Travel,130.32,2022-11-27 11:27:27
Clothing purchase,Travel,146.43,2023-03-31 12:42:33
Uber ride,Transportation,34.63,2024-05-13 22:53:45
Electricity bill,Fitness,131.11,2023-07-20 04:29:38
Groceries,Fitness,204.01,2022-04-21 05:40:54
Flight ticket,Entertainment,21.65,2022-04-24 18:18:14
Car repair,Shopping,164.85,2023-08-23 01:19:11
Gym membership,Health,62.05,2022-10-16 09:49:40
